               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088121,            0.032467,            0.018423,             0.47506,             0.46506,             0.40106,             0.15055,            0.060482,             0.01567,           0.0027606,             0.07012,             0.00332,             0.00332
                   1,            0.065578,            0.028508,           0.0064941,             0.64965,             0.47216,             0.52939,             0.16156,            0.060396,            0.012817,           0.0038396,            0.039988,           0.0065216,           0.0065216
                   2,            0.061475,            0.026899,           0.0048352,             0.65987,             0.59722,             0.55592,             0.19148,            0.053531,            0.013138,           0.0016367,           0.0097245,           0.0095912,           0.0095912
                   3,            0.058263,            0.027217,           0.0047158,             0.72064,             0.62103,             0.68533,             0.31523,            0.049414,            0.012344,          0.00076156,            0.009406,            0.009406,            0.009406
                   4,             0.05516,            0.026601,           0.0039781,              0.7778,             0.71304,             0.75002,             0.34209,            0.048125,            0.011491,          0.00056576,            0.009406,            0.009406,            0.009406
                   5,            0.053486,            0.025803,           0.0035398,             0.82098,             0.67939,             0.79511,             0.37909,            0.046727,            0.011027,          0.00065029,            0.009208,            0.009208,            0.009208
                   6,            0.051701,            0.025259,           0.0033177,             0.85729,             0.72311,             0.81327,             0.37216,            0.044914,            0.011712,           0.0011465,             0.00901,             0.00901,             0.00901
                   7,              0.0508,            0.025298,           0.0029133,             0.83851,                0.75,             0.83434,              0.4328,            0.043693,            0.010622,          0.00035266,            0.008812,            0.008812,            0.008812
                   8,            0.049818,            0.024261,           0.0029815,             0.82595,             0.74696,             0.79995,             0.38395,            0.045778,            0.010823,          0.00046561,            0.008614,            0.008614,            0.008614
                   9,            0.049101,            0.024247,            0.002748,             0.81137,             0.77665,             0.82493,             0.41751,            0.043962,            0.010276,           0.0004909,            0.008416,            0.008416,            0.008416
                  10,            0.048598,            0.023804,           0.0026958,             0.81703,             0.73611,              0.8373,             0.43091,            0.041719,            0.010466,          0.00039297,            0.008218,            0.008218,            0.008218
                  11,            0.047922,            0.023948,           0.0025434,             0.86634,             0.78019,             0.83305,             0.43273,            0.042703,            0.010173,          0.00026714,             0.00802,             0.00802,             0.00802
                  12,            0.046935,            0.024177,           0.0023914,             0.82708,             0.77778,             0.83568,              0.4526,            0.042236,           0.0099013,          0.00025869,            0.007822,            0.007822,            0.007822
                  13,            0.046257,            0.023127,           0.0022074,             0.85808,             0.78704,             0.84901,             0.45268,             0.04327,            0.010122,          0.00016307,            0.007624,            0.007624,            0.007624
                  14,            0.045632,            0.023745,           0.0022599,             0.88062,             0.81019,              0.8693,             0.45731,            0.040793,           0.0099199,          0.00021468,            0.007426,            0.007426,            0.007426
                  15,            0.045563,            0.023375,            0.002196,             0.88417,             0.80093,             0.86367,             0.48139,            0.040679,            0.010211,           0.0001921,            0.007228,            0.007228,            0.007228
                  16,            0.045058,            0.023229,           0.0020175,             0.87014,             0.78704,             0.83646,             0.44278,            0.041592,            0.010211,           0.0001534,             0.00703,             0.00703,             0.00703
                  17,            0.044117,            0.022837,            0.001927,             0.88818,             0.78241,             0.87125,             0.47928,            0.041132,           0.0098643,          0.00017016,            0.006832,            0.006832,            0.006832
                  18,            0.044055,            0.022656,           0.0019933,             0.88059,              0.8194,             0.85963,             0.47499,            0.040548,           0.0099196,          0.00011824,            0.006634,            0.006634,            0.006634
                  19,            0.043925,            0.022339,           0.0017109,             0.86171,             0.83662,             0.85401,             0.45198,            0.041124,            0.010181,          0.00012165,            0.006436,            0.006436,            0.006436
                  20,            0.043679,            0.022737,           0.0018184,             0.89408,             0.82062,             0.89298,             0.48529,            0.040097,           0.0095303,           0.0001506,            0.006238,            0.006238,            0.006238
                  21,            0.043058,            0.022348,           0.0016893,             0.87626,             0.82407,             0.86192,             0.49481,            0.040727,           0.0096095,          0.00018461,             0.00604,             0.00604,             0.00604
                  22,             0.04233,            0.022446,           0.0017513,             0.86921,             0.80556,             0.87992,             0.49114,            0.040535,           0.0095804,          0.00011813,            0.005842,            0.005842,            0.005842
                  23,             0.04219,            0.022197,           0.0018153,             0.87106,             0.82407,             0.88267,             0.49244,            0.040656,           0.0093119,          0.00014133,            0.005644,            0.005644,            0.005644
                  24,            0.042036,            0.021626,           0.0013822,             0.88065,             0.81982,             0.88928,             0.49138,            0.040029,            0.009362,          8.6907e-05,            0.005446,            0.005446,            0.005446
                  25,            0.040974,             0.02166,           0.0014979,             0.90171,             0.80694,             0.88941,             0.50056,            0.039445,           0.0096886,          0.00015997,            0.005248,            0.005248,            0.005248
                  26,             0.04068,            0.021503,           0.0013166,             0.90109,             0.81019,             0.87653,             0.50369,            0.040468,           0.0095644,          0.00011205,             0.00505,             0.00505,             0.00505
                  27,            0.040609,            0.021101,           0.0013223,             0.90293,             0.81944,             0.88783,              0.5094,            0.039788,           0.0096421,          0.00011882,            0.004852,            0.004852,            0.004852
                  28,            0.040202,            0.021231,           0.0013895,             0.91128,             0.81944,             0.89656,             0.51424,            0.039211,           0.0095282,          0.00010083,            0.004654,            0.004654,            0.004654
                  29,            0.039448,             0.02076,           0.0012104,             0.89954,              0.7963,              0.8874,             0.49176,            0.038857,           0.0096688,          7.8827e-05,            0.004456,            0.004456,            0.004456
                  30,             0.03942,            0.020812,           0.0013397,             0.89086,             0.80556,             0.88006,             0.51252,            0.038069,           0.0093327,          8.5118e-05,            0.004258,            0.004258,            0.004258
                  31,             0.03914,            0.020926,           0.0011384,             0.90379,             0.85648,             0.89607,             0.50793,            0.038391,           0.0093205,           6.623e-05,             0.00406,             0.00406,             0.00406
                  32,            0.038657,            0.020651,           0.0011062,             0.89573,             0.84259,             0.89995,             0.51924,            0.038264,           0.0093391,           6.904e-05,            0.003862,            0.003862,            0.003862
                  33,            0.038301,            0.020628,           0.0011747,             0.89544,             0.87228,             0.91346,              0.4973,            0.038473,           0.0089984,          7.9468e-05,            0.003664,            0.003664,            0.003664
                  34,            0.038264,            0.020093,           0.0011819,               0.922,             0.87558,             0.91895,              0.5284,            0.038111,           0.0089259,          9.1907e-05,            0.003466,            0.003466,            0.003466
                  35,            0.037802,             0.01999,           0.0012049,              0.8892,               0.875,             0.90282,             0.52964,             0.03809,           0.0091414,          6.4141e-05,            0.003268,            0.003268,            0.003268
                  36,            0.037449,            0.020132,           0.0011563,             0.88434,             0.83796,             0.88678,             0.50725,             0.03915,           0.0092318,          7.5127e-05,             0.00307,             0.00307,             0.00307
                  37,            0.036847,            0.019825,          0.00095387,             0.90641,             0.85191,             0.90948,             0.53055,            0.038329,           0.0089147,          5.4626e-05,            0.002872,            0.002872,            0.002872
                  38,            0.036697,            0.019994,           0.0010666,             0.90767,              0.8647,             0.90277,             0.52568,            0.038064,           0.0091643,            5.72e-05,            0.002674,            0.002674,            0.002674
                  39,            0.036485,             0.01943,          0.00096627,             0.91013,             0.86574,             0.90866,             0.53649,            0.038003,           0.0089066,          3.5834e-05,            0.002476,            0.002476,            0.002476
                  40,            0.036468,            0.019293,          0.00090701,             0.91177,             0.88889,             0.90468,             0.53605,            0.038098,           0.0090511,          4.7244e-05,            0.002278,            0.002278,            0.002278
                  41,              0.0355,            0.019143,          0.00096246,             0.93797,             0.84014,             0.90624,             0.53725,            0.037356,           0.0090754,          4.0354e-05,             0.00208,             0.00208,             0.00208
                  42,             0.03521,            0.019212,          0.00090575,             0.90868,             0.87531,             0.90549,               0.538,            0.037345,           0.0089667,          3.6275e-05,            0.001882,            0.001882,            0.001882
                  43,            0.035313,            0.019077,          0.00086642,             0.91089,             0.85184,             0.91044,             0.54506,            0.037005,           0.0090005,          3.7693e-05,            0.001684,            0.001684,            0.001684
                  44,            0.034492,            0.019432,          0.00073698,             0.92556,             0.86345,             0.90791,             0.53819,            0.037041,           0.0090797,          4.1742e-05,            0.001486,            0.001486,            0.001486
                  45,            0.034879,             0.01864,          0.00071543,             0.96013,             0.85648,             0.92259,             0.55358,            0.037293,           0.0087054,          2.8912e-05,            0.001288,            0.001288,            0.001288
                  46,            0.034135,            0.018842,          0.00076268,              0.9107,             0.89815,             0.92388,             0.55692,             0.03696,           0.0086887,          2.8716e-05,             0.00109,             0.00109,             0.00109
                  47,            0.033731,            0.018364,          0.00079561,             0.94827,             0.84861,              0.9214,             0.54871,            0.036758,           0.0087085,          2.8281e-05,            0.000892,            0.000892,            0.000892
                  48,            0.033578,            0.018784,          0.00069623,             0.93049,               0.875,             0.91895,             0.55307,              0.0362,           0.0085931,          2.4745e-05,            0.000694,            0.000694,            0.000694
                  49,            0.033208,            0.017954,          0.00069901,             0.94827,             0.84863,             0.91568,             0.55592,            0.036256,           0.0087767,          2.7135e-05,            0.000496,            0.000496,            0.000496
